circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
i2c,7089,128,0.2,segr_structure_derived_selector,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
i2c,7089,128,0.05,no_gnn,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,no_gnn,16268.0,17408.0,17408.0,0.9345128676470589,True,pdom_dist
i2c,7089,128,0.2,no_gnn,24420.0,27645.0,28648.0,0.8524155263892768,True,pdom_dist
i2c,7089,128,0.05,gnn_only,3580.0,8704.0,8704.0,0.41130514705882354,True,pdom_dist
i2c,7089,128,0.1,gnn_only,7673.0,17408.0,17408.0,0.4407743566176471,True,pdom_dist
i2c,7089,128,0.2,gnn_only,16303.0,27645.0,28648.0,0.5690798659592292,True,pdom_dist
i2c,7089,128,0.05,shuffled_gnn,2468.0,8704.0,8704.0,0.2835477941176471,True,pdom_dist
i2c,7089,128,0.1,shuffled_gnn,4913.0,17408.0,17408.0,0.2822265625,True,pdom_dist
i2c,7089,128,0.2,shuffled_gnn,8889.0,27645.0,28648.0,0.31028344037978217,True,pdom_dist
i2c,7089,128,0.05,pure_static_proximity,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,pure_static_proximity,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,pure_static_proximity,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
i2c,7089,128,0.05,cache_structural_only,3349.0,8704.0,8704.0,0.384765625,True,pdom_dist
i2c,7089,128,0.1,cache_structural_only,5473.0,17408.0,17408.0,0.3143956801470588,True,pdom_dist
i2c,7089,128,0.2,cache_structural_only,11874.0,27645.0,28648.0,0.4144791957553756,True,pdom_dist
i2c,7089,128,0.05,structural_family_only,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,structural_family_only,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,structural_family_only,21675.0,27645.0,28648.0,0.7565973191845853,True,pdom_dist
int2float,7089,128,0.05,segr_structure_derived_selector,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,segr_structure_derived_selector,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,segr_structure_derived_selector,1234.0,1151.0,1324.0,0.93202416918429,False,pdom_dist
int2float,7089,128,0.05,no_gnn,539.0,535.0,591.0,0.9120135363790186,False,pdom_dist
int2float,7089,128,0.1,no_gnn,807.0,869.0,938.0,0.8603411513859275,True,pdom_dist
int2float,7089,128,0.2,no_gnn,1120.0,1151.0,1324.0,0.8459214501510574,True,pdom_dist
int2float,7089,128,0.05,gnn_only,250.0,535.0,591.0,0.4230118443316413,True,pdom_dist
int2float,7089,128,0.1,gnn_only,422.0,869.0,938.0,0.44989339019189767,True,pdom_dist
int2float,7089,128,0.2,gnn_only,625.0,1151.0,1324.0,0.47205438066465255,True,pdom_dist
int2float,7089,128,0.05,shuffled_gnn,51.0,535.0,591.0,0.08629441624365482,True,pdom_dist
int2float,7089,128,0.1,shuffled_gnn,100.0,869.0,938.0,0.10660980810234541,True,pdom_dist
int2float,7089,128,0.2,shuffled_gnn,173.0,1151.0,1324.0,0.13066465256797583,True,pdom_dist
int2float,7089,128,0.05,pure_static_proximity,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,pure_static_proximity,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,pure_static_proximity,1151.0,1151.0,1324.0,0.8693353474320241,False,pdom_dist
int2float,7089,128,0.05,cache_structural_only,195.0,535.0,591.0,0.3299492385786802,True,pdom_dist
int2float,7089,128,0.1,cache_structural_only,302.0,869.0,938.0,0.32196162046908317,True,pdom_dist
int2float,7089,128,0.2,cache_structural_only,711.0,1151.0,1324.0,0.5370090634441088,True,pdom_dist
int2float,7089,128,0.05,structural_family_only,309.0,535.0,591.0,0.5228426395939086,True,pdom_dist
int2float,7089,128,0.1,structural_family_only,450.0,869.0,938.0,0.47974413646055436,True,pdom_dist
int2float,7089,128,0.2,structural_family_only,814.0,1151.0,1324.0,0.6148036253776435,True,pdom_dist
log2,7089,128,0.05,segr_structure_derived_selector,137047.0,50268.0,197008.0,0.6956418013481686,False,sink_reach_near_pr
log2,7089,128,0.1,segr_structure_derived_selector,227326.0,74897.0,353573.0,0.6429393647139346,False,sink_reach_near_pr
log2,7089,128,0.2,segr_structure_derived_selector,370340.0,145152.0,574667.0,0.6444427816457183,False,sink_reach_near_pr
log2,7089,128,0.05,no_gnn,114515.0,50268.0,197008.0,0.5812708113376106,False,sink_reach_near_pr
log2,7089,128,0.1,no_gnn,212361.0,74897.0,353573.0,0.6006143003000795,False,sink_reach_near_pr
log2,7089,128,0.2,no_gnn,378363.0,145152.0,574667.0,0.658403910438567,False,sink_reach_near_pr
log2,7089,128,0.05,gnn_only,62273.0,50268.0,197008.0,0.31609376268984,False,sink_reach_near_pr
log2,7089,128,0.1,gnn_only,123484.0,74897.0,353573.0,0.34924612456267873,False,sink_reach_near_pr
log2,7089,128,0.2,gnn_only,279156.0,145152.0,574667.0,0.48577001985497686,False,sink_reach_near_pr
log2,7089,128,0.05,shuffled_gnn,40541.0,50268.0,197008.0,0.20578352148136117,True,sink_reach_near_pr
log2,7089,128,0.1,shuffled_gnn,82872.0,74897.0,353573.0,0.23438441283695305,False,sink_reach_near_pr
log2,7089,128,0.2,shuffled_gnn,167489.0,145152.0,574667.0,0.29145400727725795,False,sink_reach_near_pr
log2,7089,128,0.05,pure_static_proximity,50268.0,50268.0,197008.0,0.25515715097864045,False,sink_reach_near_pr
log2,7089,128,0.1,pure_static_proximity,74897.0,74897.0,353573.0,0.21182895752786554,False,sink_reach_near_pr
log2,7089,128,0.2,pure_static_proximity,145152.0,145152.0,574667.0,0.2525845402641878,False,sink_reach_near_pr
