circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
bar,7089,128,0.1,selector_family_diagnostics:index_mid,4076.0,28736.0,28736.0,0.14184298440979956,True
bar,7089,128,0.2,selector_family_diagnostics:index_mid,6734.0,39326.0,39500.0,0.17048101265822785,True
bar,7089,128,0.05,selector_family_diagnostics:idx_mid_cache,4344.0,15463.0,16311.0,0.2663233400772485,True
bar,7089,128,0.1,selector_family_diagnostics:idx_mid_cache,7940.0,28736.0,28736.0,0.27630846325167036,True
bar,7089,128,0.2,selector_family_diagnostics:idx_mid_cache,13881.0,39326.0,39500.0,0.35141772151898737,True
bar,7089,128,0.05,selector_family_diagnostics:dist_pr,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,selector_family_diagnostics:dist_pr,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,selector_family_diagnostics:dist_pr,39352.0,39326.0,39500.0,0.996253164556962,False
bar,7089,128,0.05,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,8552.0,15463.0,16311.0,0.5243087486971982,True
bar,7089,128,0.1,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,16659.0,28736.0,28736.0,0.5797257795100222,True
bar,7089,128,0.2,selector_family_diagnostics:union_orig_idx_edge_pr_topo_edge_pr,37850.0,39326.0,39500.0,0.9582278481012658,True
bar,7089,128,0.05,selector_family_diagnostics:union_dist_pr_topo_edge_pr,11367.0,15463.0,16311.0,0.6968916681993746,True
bar,7089,128,0.1,selector_family_diagnostics:union_dist_pr_topo_edge_pr,26730.0,28736.0,28736.0,0.9301920935412027,True
bar,7089,128,0.2,selector_family_diagnostics:union_dist_pr_topo_edge_pr,39311.0,39326.0,39500.0,0.9952151898734177,True
bar,7089,128,0.05,selector_family_diagnostics:wl1_role_index_edge_dist,11367.0,15463.0,16311.0,0.6968916681993746,True
bar,7089,128,0.1,selector_family_diagnostics:wl1_role_index_edge_dist,26730.0,28736.0,28736.0,0.9301920935412027,True
bar,7089,128,0.2,selector_family_diagnostics:wl1_role_index_edge_dist,39257.0,39326.0,39500.0,0.9938481012658228,True
bar,7089,128,0.05,selector_family_diagnostics:wl3_common_dist,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,selector_family_diagnostics:wl3_common_dist,26105.0,28736.0,28736.0,0.9084423719376392,True
bar,7089,128,0.2,selector_family_diagnostics:wl3_common_dist,33663.0,39326.0,39500.0,0.8522278481012658,True
bar,7089,128,0.05,selector_family_diagnostics:wl3_role_depth_gnn,169.0,15463.0,16311.0,0.010361106002084482,True
