figure,circuit,method,public_name,n_nodes,correlation,centered_rmse,method_std,oracle_std,std_ratio,centered_rmse_norm
Fig4,bar,structural_family_only,Struct-Family,3208,0.626758428647999,0.24949092774311146,0.28876513463896203,0.28876513463896203,1.0,0.8639925594031481
Fig4,cavlc,v38_no_hand_parameters_selector,SEGR,682,0.6811374896747112,0.2308675536969578,0.28909872269440073,0.28909872269440073,1.0,0.7985768720984711
Fig4,cavlc,pure_static_proximity,Static-Prox,682,0.6972750429973297,0.2249496303182757,0.28909872269440073,0.28909872269440073,1.0,0.7781066212321682
Fig4,cavlc,no_gnn,SEGR w/o GNN,682,0.4882465012896693,0.29247690673598686,0.28909872269440073,0.28909872269440073,1.0,1.0116852264517167
Fig4,cavlc,gnn_only,GNN-only,682,0.34422969113023,0.3310831247236301,0.28909872269440073,0.28909872269440073,1.0,1.1452251384507501
Fig4,cavlc,shuffled_gnn,Shuffled-GNN,682,-0.01005740965576771,0.4108981634577643,0.28909872269440073,0.28909872269440073,1.0,1.4213074330740465
Fig4,cavlc,cache_structural_only,Cache-Struct,682,0.17136269375042426,0.3721717560457197,0.28909872269440073,0.28909872269440073,1.0,1.2873517827304048
Fig4,cavlc,structural_family_only,Struct-Family,682,0.3446184256889687,0.3309849786732045,0.28909872269440073,0.28909872269440073,1.0,1.1448856487099761
Fig4,ctrl,v38_no_hand_parameters_selector,SEGR,164,0.7783630106239713,0.193372034188983,0.2904407482101279,0.2904407482101279,1.0,0.6657882386705681
Fig4,ctrl,pure_static_proximity,Static-Prox,164,0.7454382218111082,0.20723788086398945,0.2904407482101279,0.2904407482101279,1.0,0.7135289457182403
Fig4,ctrl,no_gnn,SEGR w/o GNN,164,0.6657353121216654,0.23747494432450678,0.2904407482101279,0.2904407482101279,1.0,0.8176364569640158
Fig4,ctrl,gnn_only,GNN-only,164,0.2963176581012882,0.3445568364007872,0.2904407482101279,0.2904407482101279,1.0,1.1863240214197062
Fig4,ctrl,shuffled_gnn,Shuffled-GNN,164,0.0057540843116183765,0.4095618089448763,0.2904407482101279,0.2904407482101279,1.0,1.4101389404511753
Fig4,ctrl,cache_structural_only,Cache-Struct,164,0.18694380585746734,0.3703674625206506,0.2904407482101279,0.2904407482101279,1.0,1.2751911183368023
Fig4,ctrl,structural_family_only,Struct-Family,164,0.5631983458707982,0.27146552378639155,0.2904407482101279,0.2904407482101279,1.0,0.9346674853970278
