circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
multiplier,7089,128,centrality_only,0.41234442447518543,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,False
multiplier,7089,128,scoap_proxy,0.4672429038778,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,False
multiplier,7089,128,observability_cone_proxy,0.6380859751968867,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,cone_centrality_proxy,0.5907020710877056,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,structural_borda_no_gnn,0.45623541087401587,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,False
multiplier,7089,128,equal_rank_fusion_static_cache_gnn,0.6342554866263477,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,rrf_static_cache_gnn,0.5192859492716256,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
multiplier,7089,128,max_visible_signal,0.6146142621198579,0,0.27694727179474754,0.24386949329873106,0.31828039575627837,0.5,True
priority,7089,128,centrality_only,0.4335742581405109,3,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,False
priority,7089,128,scoap_proxy,0.6034662918302153,2,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,observability_cone_proxy,0.6584145711056473,1,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,cone_centrality_proxy,0.660595747163082,1,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,structural_borda_no_gnn,0.6958416299809455,1,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,equal_rank_fusion_static_cache_gnn,0.6703379505998661,1,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,rrf_static_cache_gnn,0.5982108057261908,3,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,True
priority,7089,128,max_visible_signal,0.4263289095664894,3,0.3477473527376607,0.26475172567356936,0.4179617589654579,0.5,False
router,7089,128,centrality_only,0.14156510672780515,3,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,False
router,7089,128,scoap_proxy,0.7564017870470853,0,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,observability_cone_proxy,0.6542092726777673,2,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,cone_centrality_proxy,0.46739395420360846,3,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,False
router,7089,128,structural_borda_no_gnn,0.6134645330155988,2,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,equal_rank_fusion_static_cache_gnn,0.48883309965255645,3,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,False
router,7089,128,rrf_static_cache_gnn,0.5002467816951842,3,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,True
router,7089,128,max_visible_signal,0.2731272572796304,3,0.12521168193746035,0.003484320557491289,0.30721220527045767,0.5,False
sin,7089,128,centrality_only,0.5672824427588339,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,scoap_proxy,0.6401624349735615,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,observability_cone_proxy,0.713125199660237,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,cone_centrality_proxy,0.7702617668196388,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,structural_borda_no_gnn,0.782453677525724,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,equal_rank_fusion_static_cache_gnn,0.7127502800968548,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,rrf_static_cache_gnn,0.6637653923514338,0,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,True
sin,7089,128,max_visible_signal,0.4540472167060262,1,0.3433711178525242,0.31130399017972216,0.37031037388441346,0.5,False
sqrt,7089,128,centrality_only,0.49337426970964154,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,False
sqrt,7089,128,scoap_proxy,0.655510824296386,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
sqrt,7089,128,observability_cone_proxy,0.4507820353806856,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,False
sqrt,7089,128,cone_centrality_proxy,0.5291404492164286,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
sqrt,7089,128,structural_borda_no_gnn,0.6170474729849176,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
sqrt,7089,128,equal_rank_fusion_static_cache_gnn,0.5955025502967278,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,True
sqrt,7089,128,rrf_static_cache_gnn,0.4031631630279623,0,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,False
sqrt,7089,128,max_visible_signal,0.38777693839539734,1,0.1860579971285007,0.12601257405392335,0.2535414610069101,0.5,False
square,7089,128,centrality_only,0.8007257470068406,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,scoap_proxy,0.7983040142135719,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,observability_cone_proxy,0.7785037205230896,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,cone_centrality_proxy,0.8304002829681602,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,structural_borda_no_gnn,0.802181138980726,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,equal_rank_fusion_static_cache_gnn,0.813952838606099,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,rrf_static_cache_gnn,0.8227226327611111,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
square,7089,128,max_visible_signal,0.8093866887888352,0,0.7090468456099492,0.6973026732893216,0.7200784654139434,0.7090468456099492,True
voter,7089,128,centrality_only,0.4222497173584486,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,scoap_proxy,0.5190197651965915,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,True
voter,7089,128,observability_cone_proxy,0.35307431107331877,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,cone_centrality_proxy,0.494995267027906,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,structural_borda_no_gnn,0.4501585576995381,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,equal_rank_fusion_static_cache_gnn,0.38974003198623475,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,rrf_static_cache_gnn,0.4193588862619343,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
voter,7089,128,max_visible_signal,0.34130600413758994,3,0.4225666953381965,0.36502942253005605,0.48324011614920703,0.5,False
